Date : 2023-06-19 09:54:06
Directory : /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react
Total : 193 files,  48325 codes, 2982 comments, 1818 blanks, all 53125 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     35,174 |          0 |          3 |     35,177 |
| JavaScript         |         99 |      8,557 |      1,420 |        974 |     10,951 |
| CSS                |         18 |      1,923 |         10 |        296 |      2,229 |
| TypeScript JSX     |         24 |      1,884 |      1,145 |        345 |      3,374 |
| TypeScript         |         19 |        622 |        407 |        166 |      1,195 |
| XML                |         24 |         79 |          0 |          1 |         80 |
| Markdown           |          4 |         45 |          0 |         31 |         76 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| HTML               |          1 |         15 |          0 |          1 |         16 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        193 |     48,325 |      2,982 |      1,818 |     53,125 |
| . (Files)                                                                                                                         |          5 |     35,212 |          0 |         30 |     35,242 |
| api                                                                                                                               |          7 |        761 |        662 |        205 |      1,628 |
| public                                                                                                                            |         28 |        127 |          0 |          7 |        134 |
| public (Files)                                                                                                                    |          2 |         40 |          0 |          2 |         42 |
| public/images                                                                                                                     |         26 |         87 |          0 |          5 |         92 |
| public/images/emoji                                                                                                               |          1 |          4 |          0 |          2 |          6 |
| public/images/icons                                                                                                               |         25 |         83 |          0 |          3 |         86 |
| src                                                                                                                               |        153 |     12,225 |      2,320 |      1,576 |     16,121 |
| src (Files)                                                                                                                       |          6 |      1,228 |        110 |        206 |      1,544 |
| src/LexicalEditor                                                                                                                 |         85 |      5,941 |      1,772 |        991 |      8,704 |
| src/LexicalEditor (Files)                                                                                                         |          2 |         60 |          3 |          9 |         72 |
| src/LexicalEditor/UNUSED_LEIXCAL                                                                                                  |         15 |      1,081 |         81 |        161 |      1,323 |
| src/LexicalEditor/UNUSED_LEIXCAL (Files)                                                                                          |          2 |          0 |         62 |         13 |         75 |
| src/LexicalEditor/UNUSED_LEIXCAL/ExcalidrawNode                                                                                   |          5 |        490 |         18 |         64 |        572 |
| src/LexicalEditor/UNUSED_LEIXCAL/LexcialUI                                                                                        |          5 |        443 |          1 |         51 |        495 |
| src/LexicalEditor/UNUSED_LEIXCAL/LexicalUtils                                                                                     |          3 |        148 |          0 |         33 |        181 |
| src/LexicalEditor/context                                                                                                         |          3 |         86 |         59 |         21 |        166 |
| src/LexicalEditor/nodes                                                                                                           |         18 |      1,446 |        872 |        267 |      2,585 |
| src/LexicalEditor/nodes (Files)                                                                                                   |         11 |        954 |        499 |        164 |      1,617 |
| src/LexicalEditor/nodes/ExcalidrawNode                                                                                            |          7 |        492 |        373 |        103 |        968 |
| src/LexicalEditor/plugins                                                                                                         |         20 |      1,749 |        749 |        318 |      2,816 |
| src/LexicalEditor/plugins (Files)                                                                                                 |         19 |      1,749 |        749 |        317 |      2,815 |
| src/LexicalEditor/plugins/DateTimePlugin                                                                                          |          1 |          0 |          0 |          1 |          1 |
| src/LexicalEditor/themes                                                                                                          |          5 |        604 |          1 |         84 |        689 |
| src/LexicalEditor/ui                                                                                                              |         14 |        659 |          2 |         73 |        734 |
| src/LexicalEditor/utils                                                                                                           |          8 |        256 |          5 |         58 |        319 |
| src/NewDesign                                                                                                                     |          5 |        222 |          4 |         11 |        237 |
| src/components                                                                                                                    |         27 |      2,000 |        216 |        115 |      2,331 |
| src/components (Files)                                                                                                            |         16 |      1,540 |        204 |         96 |      1,840 |
| src/components/Q&A                                                                                                                |          2 |         68 |          0 |          3 |         71 |
| src/components/SortableList                                                                                                       |          4 |        236 |         12 |          7 |        255 |
| src/components/Timeline                                                                                                           |          5 |        156 |          0 |          9 |        165 |
| src/hooks                                                                                                                         |          5 |        621 |         28 |         97 |        746 |
| src/layouts                                                                                                                       |          2 |         47 |          0 |          4 |         51 |
| src/pages                                                                                                                         |         21 |      2,133 |        170 |        143 |      2,446 |
| src/pages (Files)                                                                                                                 |          6 |        613 |        123 |         77 |        813 |
| src/pages/collabs                                                                                                                 |         13 |        560 |         47 |         58 |        665 |
| src/pages/compliance                                                                                                              |          2 |        960 |          0 |          8 |        968 |
| src/supabase                                                                                                                      |          1 |         28 |          0 |          5 |         33 |
| src/util                                                                                                                          |          1 |          5 |         20 |          4 |         29 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/README.md                                                               | Markdown           |          2 |          0 |          2 |          4 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/TODO.md                                                                 | Markdown           |         35 |          0 |         25 |         60 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/api/attendeesAvatarApi.js                                               | JavaScript         |         82 |         89 |         30 |        201 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/api/brandFetch.js                                                       | JavaScript         |         67 |        199 |         52 |        318 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/api/insertCalenderLink.js                                               | JavaScript         |          5 |          5 |          5 |         15 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/api/jobManager.js                                                       | JavaScript         |         83 |          9 |         16 |        108 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/api/pdlDomainOnlyPersonApi.js                                           | JavaScript         |        256 |         14 |         24 |        294 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/api/pdlEmailOnlyPersonApi.js                                            | JavaScript         |        189 |        266 |         48 |        503 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/api/workspacesAvatarApi.js                                              | JavaScript         |         79 |         80 |         30 |        189 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/package-lock.json                                                       | JSON               |     35,067 |          0 |          1 |     35,068 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/package.json                                                            | JSON               |         82 |          0 |          1 |         83 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/emoji/LICENSE.md                                          | Markdown           |          4 |          0 |          2 |          6 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/LICENSE.md                                          | Markdown           |          4 |          0 |          2 |          6 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/arrow-clockwise.svg                                 | XML                |          4 |          0 |          0 |          4 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/arrow-counterclockwise.svg                          | XML                |          4 |          0 |          0 |          4 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/chat-square-quote.svg                               | XML                |          4 |          0 |          0 |          4 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/chevron-down.svg                                    | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/code.svg                                            | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/draggable-block-menu.svg                            | XML                |          1 |          0 |          1 |          2 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/journal-code.svg                                    | XML                |          5 |          0 |          0 |          5 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/journal-text.svg                                    | XML                |          5 |          0 |          0 |          5 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/justify.svg                                         | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/link.svg                                            | XML                |          4 |          0 |          0 |          4 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/list-ol.svg                                         | XML                |          4 |          0 |          0 |          4 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/list-ul.svg                                         | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/pencil-fill.svg                                     | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/text-center.svg                                     | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/text-left.svg                                       | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/text-paragraph.svg                                  | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/text-right.svg                                      | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/type-bold.svg                                       | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/type-h1.svg                                         | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/type-h2.svg                                         | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/type-h3.svg                                         | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/type-italic.svg                                     | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/type-strikethrough.svg                              | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/images/icons/type-underline.svg                                  | XML                |          3 |          0 |          0 |          3 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/index.html                                                       | HTML               |         15 |          0 |          1 |         16 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/public/manifest.json                                                    | JSON               |         25 |          0 |          1 |         26 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/App.js                                                              | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/LexcialEditor.js                                                    | JavaScript         |        241 |         32 |         29 |        302 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/LexicalEditor/UNUSED_LEIXCAL/ExcalidrawNode/ExcalidrawComponent.jsx | JavaScript         |        120 |          0 |         12 |        132 |
| /Users/johnchildseddy/Desktop/COLLAB_PROJECT/collab-react/src/LexicalEditor/UNUSED_LEIXCAL/ExcalidrawNode/ExcalidrawImage.jsx     | JavaScript         |         44 |         12 |          9 |         65 |
